ShipmentID,Route No,LegNumber,WasRolled,RolloverReason,PaymentStatus,DocumentSubmitted,WeatherSeverity,PortCongestion,GeoRiskFlag,CarrierNotification,ExternalNewsImpact
SHP100000,R000001,1,TRUE,Late Document,Pending,FALSE,Moderate,6,Embargo,NA,TRUE
SHP100000,R000002,2,TRUE,Feeder Delay,Pending,FALSE,Moderate,6,NA,Late Alert,FALSE
SHP100001,R000003,1,TRUE,Vessel Omission,Pending,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100001,R000004,2,FALSE,NA,Pending,TRUE,Moderate,6,NA,NA,FALSE
SHP100001,R000005,3,TRUE,Feeder Delay,Pending,TRUE,Low,3,NA,Blank Sailing,TRUE
SHP100002,R000006,1,TRUE,Hub Congestion,Overdue,TRUE,Moderate,8,NA,Late Alert,FALSE
SHP100002,R000007,2,FALSE,NA,Overdue,TRUE,Low,7,NA,NA,FALSE
SHP100002,R000008,3,TRUE,Hub Congestion,Overdue,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100003,R000009,1,TRUE,Feeder Delay,Paid,TRUE,Moderate,6,NA,Late Alert,FALSE
SHP100003,R000010,2,TRUE,Carrier Overbooking,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100003,R000011,3,TRUE,Customs Hold,Paid,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100004,R000012,1,FALSE,NA,Paid,TRUE,Low,6,NA,NA,FALSE
SHP100005,R000013,1,FALSE,NA,Paid,TRUE,High,8,NA,NA,TRUE
SHP100005,R000014,2,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100005,R000015,3,TRUE,Feeder Delay,Paid,TRUE,Low,7,NA,Late Alert,FALSE
SHP100006,R000016,1,FALSE,NA,Paid,FALSE,Moderate,4,NA,NA,FALSE
SHP100006,R000017,2,FALSE,NA,Paid,FALSE,Low,7,NA,NA,FALSE
SHP100007,R000018,1,TRUE,Late Document,Pending,TRUE,Moderate,4,Embargo,Late Alert,TRUE
SHP100007,R000019,2,FALSE,NA,Pending,TRUE,Moderate,7,NA,NA,FALSE
SHP100007,R000020,3,TRUE,Feeder Delay,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100008,R000021,1,FALSE,NA,Paid,TRUE,Low,4,NA,NA,FALSE
SHP100008,R000022,2,TRUE,Hub Congestion,Paid,TRUE,High,10,NA,Blank Sailing,TRUE
SHP100008,R000023,3,TRUE,Feeder Delay,Paid,TRUE,Low,6,NA,Blank Sailing,TRUE
SHP100009,R000024,1,TRUE,Hub Congestion,Pending,TRUE,High,10,NA,Late Alert,TRUE
SHP100009,R000025,2,TRUE,Feeder Delay,Pending,TRUE,Low,6,Protest,Late Alert,TRUE
SHP100009,R000026,3,FALSE,NA,Pending,TRUE,Low,5,NA,NA,FALSE
SHP100010,R000027,1,TRUE,Carrier Overbooking,Paid,TRUE,Moderate,7,NA,Late Alert,FALSE
