Shipment Number,Shipper,Consignee,Origin,Destination,Transhipments count,Sending Agent,Receiving Agent,Sales Rep,TEU,Incitement,Transport Mode,Direction,Shipment Type,ETD,ETA,ATD,ATA,Total Transit Days,Total Estimated Transit Days,Delay Days,Late/Early
SHP100000,Marico Ltd,Sun Drug Co Ltd,Jeddah,Cochin,2,South Freight,Bengal Marine,R. Goenka,2,CIP,Sea,Import,FCL,04-01-2024,19-01-2024,06-01-2024,24-01-2024,15,15,0,On Time
SHP100001,Tata Motors Ltd,ABC Imports Pvt Ltd,Nhava Sheva,Charleston,3,Greenline Agency,EuroLogistics,D. Sharma,2,DAP,Sea,Export,FCL,10-07-2024,10-08-2024,10-07-2024,25-08-2024,42,31,11,Late Arrival
SHP100002,Larsen & Toubro,ABC Imports Pvt Ltd,Cochin,Antwerp,3,Greenline Agency,Deko Freight,D. Sharma,1,FCA,Sea,Export,FCL,15-09-2025,06-10-2025,16-09-2025,11-10-2025,23,21,2,Late Arrival
SHP100003,Adani Exports,Star Imports Ltd,Chennai,New York,3,FastShip Ocean,Bengal Marine,S. Kumar,1,DDP,Sea,Export,FCL,09-05-2025,30-05-2025,10-05-2025,12-06-2025,25,21,4,Late Arrival
SHP100004,Mahindra Agritech,AmeriTech LLC,Kolkata,Paris,1,GT Air Express,Ocean Bridge,A. Joshi,1,FCA,Air,Export,Parcel,03-05-2025,05-05-2025,03-05-2025,06-05-2025,3,2,1,Late Arrival
SHP100005,Godrej Agrovet,Bharat Pharma Exports,Chennai,Singapore,3,Value Carry Pvt Ltd,Bluedart Cargo,A. Joshi,2,CIP,Sea,Export,FCL,21-05-2024,19-06-2024,21-05-2024,28-06-2024,35,29,6,Late Arrival
SHP100006,Tata Motors Ltd,Bharat Pharma Exports,Kaohsiung,Mumbai,2,GT Air Express,Bengal Marine,R. Goenka,1,CIP,Sea,Import,LCL,15-09-2024,08-10-2024,15-09-2024,22-10-2024,35,23,12,Late Arrival
SHP100007,Marico Ltd,Star Imports Ltd,Norfolk,Mundra,3,Shree Logi Agency,Bengal Marine,M. Tandon,1,EXW,Sea,Import,FCL,21-11-2024,24-12-2024,21-11-2024,20-01-2025,57,33,24,Late Arrival
SHP100008,Larsen & Toubro,Star Imports Ltd,Visakhapatnam,Tacoma,3,Pacific Marine,Bluedart Cargo,S. Kumar,1,FOB,Sea,Export,FCL,04-01-2026,10-02-2026,05-01-2026,18-02-2026,40,37,3,Late Arrival
SHP100009,Larsen & Toubro,XYZ Automotives,Seattle,Mundra,3,FastShip Ocean,Bluedart Cargo,A. Joshi,2,CIF,Sea,Import,LCL,18-08-2025,16-09-2025,18-08-2025,03-10-2025,34,29,5,Late Arrival
SHP100010,Mahindra Agritech,Fresh Foods Inc,Mundra,Hong Kong,2,Shree Logi Agency,Deko Freight,D. Sharma,1,FCA,Sea,Export,LCL,14-09-2025,21-09-2025,14-09-2025,24-10-2025,38,7,31,Late Arrival
SHP100011,Adani Exports,Star Imports Ltd,Mumbai,Los Angeles,3,South Freight,Gujarat Links,M. Tandon,2,CIP,Sea,Export,FCL,21-03-2026,28-04-2026,22-03-2026,04-05-2026,40,38,2,Late Arrival
SHP100012,Adani Exports,Fresh Foods Inc,Nhava Sheva,Ningbo,3,Value Carry Pvt Ltd,Kanto Broker,S. Kumar,2,CIF,Sea,Export,FCL,21-05-2025,06-06-2025,22-05-2025,26-06-2025,32,16,16,Late Arrival
SHP100013,Larsen & Toubro,ABC Imports Pvt Ltd,Singapore,Tuticorin,2,Value Carry Pvt Ltd,Bluedart Cargo,S. Kumar,2,CIF,Sea,Import,FCL,25-10-2025,15-11-2025,25-10-2025,20-11-2025,22,21,1,Late Arrival
SHP100014,Larsen & Toubro,Fresh Foods Inc,Visakhapatnam,Algeciras,1,Shree Logi Agency,EuroLogistics,A. Joshi,1,FCA,Sea,Export,LCL,01-07-2024,12-07-2024,08-07-2024,24-07-2024,16,11,5,Late Arrival
SHP100015,Marico Ltd,Pacific Foods Ltd,Frankfurt,Nhava Sheva,1,Value Carry Pvt Ltd,Bengal Marine,P. Desai,1,FOB,Air,Import,Parcel,13-06-2024,14-06-2024,13-06-2024,17-06-2024,4,1,3,Late Arrival
SHP100016,Larsen & Toubro,Global Traders LLP,Colombo,Chennai,1,Shree Logi Agency,Bengal Marine,M. Tandon,1,DDP,Sea,Import,LCL,29-07-2024,04-08-2024,02-08-2024,08-08-2024,6,6,0,On Time
SHP100017,Godrej Agrovet,Global Traders LLP,Visakhapatnam,Tokyo,2,South Freight,Gujarat Links,A. Joshi,1,CIF,Air,Export,Parcel,21-01-2026,25-01-2026,22-01-2026,27-01-2026,5,4,1,Late Arrival
SHP100018,Larsen & Toubro,XYZ Automotives,Ningbo,Mundra,2,FastShip Ocean,Bengal Marine,M. Tandon,2,EXW,Sea,Import,FCL,20-03-2024,11-04-2024,20-03-2024,30-04-2024,38,22,16,Late Arrival
SHP100019,Adani Exports,Sun Drug Co Ltd,Dallas,Tuticorin,1,Value Carry Pvt Ltd,Deko Freight,P. Desai,1,DAP,Air,Import,Parcel,27-02-2025,28-02-2025,27-02-2025,01-03-2025,2,1,1,Late Arrival
SHP100020,Bharat Steel,ABC Imports Pvt Ltd,Jebel Ali,Cochin,2,Pacific Marine,Kanto Broker,R. Goenka,1,EXW,Sea,Import,FCL,15-02-2025,14-03-2025,17-02-2025,23-03-2025,30,27,3,Late Arrival
SHP100021,Mahindra Agritech,Global Traders LLP,Chennai,Yokohama,3,FastShip Ocean,Deko Freight,A. Joshi,1,CIF,Sea,Export,LCL,11-01-2024,28-01-2024,12-01-2024,10-02-2024,24,17,7,Late Arrival
SHP100022,Mahindra Agritech,Bharat Pharma Exports,Norfolk,Mumbai,3,Shree Logi Agency,Bengal Marine,A. Joshi,1,FOB,Sea,Import,FCL,16-08-2025,21-09-2025,20-08-2025,05-10-2025,39,36,3,Late Arrival
SHP100023,Larsen & Toubro,Star Imports Ltd,Chennai,Los Angeles,3,Shree Logi Agency,Kanto Broker,V. Sinha,1,CIP,Sea,Export,FCL,18-04-2024,13-05-2024,19-04-2024,22-05-2024,29,25,4,Late Arrival
SHP100024,Bharat Steel,Star Imports Ltd,Frankfurt,Tuticorin,1,Value Carry Pvt Ltd,Bluedart Cargo,D. Sharma,1,CIP,Air,Import,Parcel,04-07-2024,07-07-2024,04-07-2024,08-07-2024,4,3,1,Late Arrival
SHP100025,Adani Exports,Global Traders LLP,London,Nhava Sheva,1,Value Carry Pvt Ltd,Bengal Marine,A. Joshi,1,CIP,Air,Import,Parcel,12-03-2026,13-03-2026,12-03-2026,13-03-2026,1,1,0,On Time
SHP100026,Bharat Steel,Star Imports Ltd,Hamburg,Nhava Sheva,3,Greenline Agency,Bluedart Cargo,V. Sinha,1,DAP,Sea,Import,FCL,01-11-2025,04-12-2025,02-11-2025,15-12-2025,34,33,1,Late Arrival
SHP100027,ITC Ltd,Fresh Foods Inc,Visakhapatnam,Dallas,1,Shree Logi Agency,Bluedart Cargo,A. Joshi,1,CIP,Air,Export,Parcel,21-03-2026,23-03-2026,22-03-2026,26-03-2026,4,2,2,Late Arrival
SHP100028,ITC Ltd,Sun Drug Co Ltd,Tuticorin,Busan,2,Shree Logi Agency,Kanto Broker,S. Kumar,2,CIF,Sea,Export,FCL,10-12-2025,29-12-2025,11-12-2025,04-01-2026,22,19,3,Late Arrival
SHP100029,Bharat Steel,Global Traders LLP,Los Angeles,Visakhapatnam,3,Pacific Marine,Bluedart Cargo,S. Kumar,2,CIF,Sea,Import,FCL,19-03-2025,15-04-2025,23-03-2025,07-05-2025,35,27,8,Late Arrival
SHP100030,Larsen & Toubro,XYZ Automotives,Mumbai,Ningbo,3,South Freight,Ocean Bridge,P. Desai,4,FCA,Sea,Export,LCL,17-03-2026,20-04-2026,18-03-2026,10-05-2026,50,34,16,Late Arrival
SHP100031,Larsen & Toubro,Global Traders LLP,Frankfurt,Cochin,1,South Freight,Gujarat Links,R. Goenka,1,DAP,Air,Import,Parcel,18-07-2025,20-07-2025,19-07-2025,21-07-2025,2,2,0,On Time
SHP100032,ITC Ltd,Star Imports Ltd,Dammam,Visakhapatnam,2,Pacific Marine,EuroLogistics,D. Sharma,2,FCA,Sea,Import,FCL,18-06-2024,04-07-2024,19-06-2024,10-07-2024,17,16,1,Late Arrival
SHP100033,Marico Ltd,Pacific Foods Ltd,Nhava Sheva,Algeciras,1,GT Air Express,Gujarat Links,V. Sinha,1,CIF,Sea,Export,FCL,17-10-2025,29-10-2025,18-10-2025,30-10-2025,12,12,0,On Time
SHP100034,ITC Ltd,Bharat Pharma Exports,Visakhapatnam,Miami,3,Greenline Agency,Kanto Broker,D. Sharma,2,DAP,Sea,Export,LCL,06-01-2025,31-01-2025,07-01-2025,22-02-2025,34,25,9,Late Arrival
SHP100035,Bharat Steel,Global Traders LLP,Cochin,Baltimore,3,Greenline Agency,Gujarat Links,S. Kumar,4,CIF,Sea,Export,FCL,24-01-2025,19-02-2025,24-01-2025,06-03-2025,28,26,2,Late Arrival
SHP100036,Godrej Agrovet,Global Traders LLP,Oakland,Mumbai,3,FastShip Ocean,Kanto Broker,D. Sharma,4,DDP,Sea,Import,LCL,12-04-2025,29-05-2025,13-04-2025,18-06-2025,59,47,12,Late Arrival
SHP100037,Adani Exports,Fresh Foods Inc,Yantian,Visakhapatnam,2,Value Carry Pvt Ltd,Gujarat Links,M. Tandon,2,EXW,Sea,Import,LCL,16-10-2024,08-11-2024,19-10-2024,22-11-2024,32,23,9,Late Arrival
SHP100038,Marico Ltd,Bharat Pharma Exports,Nhava Sheva,Felixstowe,3,Greenline Agency,Deko Freight,D. Sharma,1,CIP,Sea,Export,FCL,24-09-2025,11-10-2025,25-09-2025,20-11-2025,50,17,33,Late Arrival
SHP100039,Bharat Steel,Bharat Pharma Exports,Tokyo,Kolkata,2,Value Carry Pvt Ltd,Deko Freight,P. Desai,1,DDP,Air,Import,Parcel,05-10-2024,08-10-2024,07-10-2024,14-10-2024,7,3,4,Late Arrival
SHP100040,Mahindra Agritech,Global Traders LLP,Seattle,Mundra,3,FastShip Ocean,Bluedart Cargo,S. Kumar,1,CIF,Sea,Import,FCL,05-08-2025,17-09-2025,06-08-2025,09-10-2025,61,43,18,Late Arrival
SHP100041,Bharat Steel,AmeriTech LLC,Tuticorin,Algeciras,1,FastShip Ocean,Deko Freight,D. Sharma,1,FOB,Sea,Export,FCL,06-05-2025,16-05-2025,07-05-2025,21-05-2025,14,10,4,Late Arrival
SHP100042,Max Pharma Ltd,Sun Drug Co Ltd,Kolkata,Felixstowe,3,Pacific Marine,Kanto Broker,P. Desai,1,DDP,Sea,Export,LCL,03-01-2025,30-01-2025,06-01-2025,10-02-2025,30,27,3,Late Arrival
SHP100043,Marico Ltd,Sun Drug Co Ltd,Cochin,Yokohama,3,GT Air Express,Bengal Marine,A. Joshi,1,DDP,Sea,Export,FCL,21-08-2024,18-09-2024,21-08-2024,28-09-2024,36,28,8,Late Arrival
SHP100044,Marico Ltd,Sun Drug Co Ltd,Visakhapatnam,Busan,2,South Freight,Gujarat Links,R. Goenka,1,DAP,Sea,Export,LCL,16-09-2025,30-09-2025,19-09-2025,07-10-2025,17,14,3,Late Arrival
SHP100045,Mahindra Agritech,AmeriTech LLC,Mumbai,Port Said,1,Pacific Marine,Deko Freight,R. Goenka,1,DAP,Sea,Export,FCL,14-02-2026,20-02-2026,17-02-2026,27-02-2026,10,6,4,Late Arrival
SHP100046,Adani Exports,XYZ Automotives,Visakhapatnam,Ningbo,3,Greenline Agency,Deko Freight,D. Sharma,1,FOB,Sea,Export,FCL,26-11-2025,20-12-2025,02-12-2025,20-01-2026,34,24,10,Late Arrival
